"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Foster Moreau","TE","NO","@LA","1.1","0.9","1.4","0.6","0.9","1.1","3.9","3.2","Main"
"Jalen Tolbert","WR","DAL","ARI","1.0","0.9","1.0","0.7","0.9","1.0","4.0","3.4","Monday"
"Elijah Mitchell","RB","KC","@BUF","1.0","1.0","1.0","0.9","1.0","1.0","3.6","3.4","Main"
"Tyquan Thornton","WR","KC","@BUF","1.0","0.9","1.0","0.8","0.9","1.0","4.2","3.7","Main"
"Thomas Fidone","TE","NYG","SF","1.0","0.8","1.2","0.6","0.8","1.0","3.8","3.1","Main"
"Harrison Bryant","TE","HOU","DEN","0.9","0.7","1.0","0.5","0.7","0.9","3.3","2.6","Main"
"Chris Manhertz","TE","NYG","SF","0.9","0.7","1.0","0.5","0.7","0.8","3.4","2.8","Main"
"Charlie Woerner","TE","ATL","@NE","0.8","0.6","1.0","0.4","0.6","0.8","3.0","2.4","Main"
"Hunter Luepke","RB","DAL","ARI","0.8","0.7","0.8","0.5","0.7","0.8","3.4","2.8","Monday"
"Ben Yurosek","TE","MIN","@DET","0.8","0.6","0.9","0.5","0.6","0.8","3.1","2.5","Main"
"Skyy Moore","WR","SF","@NYG","0.8","0.7","0.8","0.6","0.7","0.8","3.2","2.8","Main"
"Jake Tonges","TE","SF","@NYG","0.8","0.6","1.0","0.5","0.6","0.8","3.2","2.5","Main"
"Robbie Chosen","WR","WAS","SEA","0.8","0.6","0.8","0.5","0.6","0.8","3.2","2.6","Sunday"
"Dare Ogunbowale","RB","HOU","DEN","0.7","0.6","0.7","0.4","0.6","0.7","2.7","2.3","Main"
"Tim Jones","WR","JAX","@LV","0.6","0.4","0.6","0.3","0.4","0.6","2.2","1.8","Main"
"Ben Skowronek","WR","PIT","IND","0.6","0.5","0.6","0.4","0.5","0.6","2.4","2.0","Main"
"Connor Heyward","TE","PIT","IND","0.6","0.5","0.7","0.4","0.5","0.6","2.5","2.0","Main"
"Jordan Watkins","WR","SF","@NYG","0.6","0.5","0.6","0.4","0.5","0.6","2.3","1.9","Main"
"Luke Farrell","TE","SF","@NYG","0.6","0.5","0.7","0.3","0.5","0.6","2.3","1.8","Main"
"Cody White","WR","SEA","@WAS","0.6","0.5","0.6","0.4","0.5","0.6","2.4","2.0","Sunday"
"Brittain Brown","RB","CHI","@CIN","0.5","0.5","0.5","0.4","0.5","0.5","2.2","2.1","Main"
"Tucker Fisk","TE","LAC","@TEN","0.5","0.4","0.6","0.3","0.4","0.5","2.1","1.7","Main"
"D'Ernest Johnson","RB","NE","ATL","0.5","0.4","0.5","0.3","0.4","0.5","2.1","1.9","Main"
"Jack Stoll","TE","NO","@LA","0.5","0.4","0.7","0.3","0.4","0.5","2.1","1.6","Main"
"Mason Kinsey","WR","TEN","LAC","0.5","0.4","0.5","0.3","0.4","0.5","2.0","1.6","Main"
"Trevor Etienne","RB","CAR","@GB","0.4","0.3","0.4","0.3","0.3","0.4","1.7","1.5","Main"
"Brycen Tremayne","WR","CAR","@GB","0.4","0.4","0.4","0.3","0.4","0.4","1.8","1.4","Main"
"Brevyn Spann-Ford","TE","DAL","ARI","0.4","0.3","0.4","0.2","0.3","0.4","1.5","1.2","Monday"
"Adam Prentice","RB","DEN","@HOU","0.4","0.4","0.4","0.3","0.4","0.4","1.8","1.7","Main"
"Chris Brooks","RB","GB","CAR","0.4","0.4","0.4","0.3","0.4","0.4","2.0","1.8","Main"
"Xavier Weaver","WR","ARI","@DAL","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.1","Monday"
"Teagan Quitoriano","TE","ATL","@NE","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Jahdae Walker","WR","CHI","@CIN","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Main"
"Durham Smythe","TE","CHI","@CIN","0.3","0.3","0.4","0.2","0.3","0.3","1.4","1.1","Main"
"Mitchell Tinsley","WR","CIN","CHI","0.3","0.3","0.3","0.2","0.3","0.3","1.3","1.1","Main"
"Marcedes Lewis","TE","DEN","@HOU","0.3","0.2","0.3","0.2","0.2","0.3","0.0","0.0","Main"
"Ross Dwelley","TE","DET","MIN","0.3","0.3","0.4","0.2","0.3","0.3","1.4","1.1","Main"
"Tyler Goodson","RB","IND","@PIT","0.3","0.3","0.3","0.2","0.3","0.3","1.5","1.3","Main"
"Adonai Mitchell","WR","IND","@PIT","0.3","0.2","0.3","0.2","0.2","0.3","0.7","0.6","Main"
"Drew Ogletree","TE","IND","@PIT","0.3","0.3","0.4","0.2","0.3","0.3","1.4","1.1","Main"
"Ian Thomas","TE","LV","JAX","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Scott Matlock","RB","LAC","@TEN","0.3","0.2","0.3","0.1","0.2","0.3","1.1","0.9","Main"
"Nyheim Hines","RB","LAC","@TEN","0.3","0.3","0.3","0.2","0.3","0.3","1.5","1.3","Main"
"Derius Davis","WR","LAC","@TEN","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.3","Main"
"Tyler Conklin","TE","LAC","@TEN","0.3","0.2","0.3","0.2","0.2","0.3","0.7","0.6","Main"
"Konata Mumpfield","WR","LA","NO","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.1","Main"
"Xavier Smith","WR","LA","NO","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.1","Main"
"Dee Eskridge","WR","MIA","BAL","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Thursday"
"Ben Sims","TE","MIN","@DET","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Kaleb Johnson","RB","PIT","IND","0.3","0.3","0.3","0.3","0.3","0.3","1.3","1.3","Main"
"Jalen Milroe","QB","SEA","@WAS","0.3","0.3","0.3","0.3","0.3","0.3","1.2","1.2","Sunday"
"Ben Sinnott","TE","WAS","SEA","0.3","0.2","0.4","0.2","0.2","0.3","1.2","1.0","Sunday"
"KhaDarel Hodge","WR","ATL","@NE","0.2","0.2","0.2","0.2","0.2","0.2","1.0","0.8","Main"
"Tahj Brooks","RB","CIN","CHI","0.2","0.2","0.2","0.2","0.2","0.2","1.1","1.1","Main"
"Malik Davis","RB","DAL","ARI","0.2","0.2","0.2","0.2","0.2","0.2","0.8","0.8","Monday"
"British Brooks","RB","HOU","DEN","0.2","0.1","0.2","0.1","0.1","0.2","0.8","0.7","Main"
"Nikko Remigio","WR","KC","@BUF","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"Robert Tonyan","TE","KC","@BUF","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"Dylan Laube","RB","LV","JAX","0.2","0.2","0.2","0.2","0.2","0.2","1.1","1.0","Main"
"Zavier Scott","RB","MIN","@DET","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.8","Main"
"Brady Russell","RB","SEA","@WAS","0.2","0.2","0.2","0.1","0.2","0.2","1.0","0.9","Sunday"
"Simi Fehoko","WR","ARI","@DAL","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Monday"
"Josiah Deguara","TE","ARI","@DAL","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Monday"
"Nathan Carter","RB","ATL","@NE","0.1","0.1","0.1","0.1","0.1","0.1","0.7","0.7","Main"
"Patrick Ricard","RB","BAL","@MIA","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.4","Thursday"
"Reggie Gilliam","TE","BUF","KC","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Jacob Saylors","RB","DET","MIN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","Main"
"Dominic Lovett","WR","DET","MIN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Braxton Berrios","WR","HOU","DEN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Alex Bachman","WR","LV","JAX","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Tahj Washington","WR","MIA","BAL","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Thursday"
"Hayden Rucci","TE","MIA","BAL","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Thursday"
"Tai Felton","WR","MIN","@DET","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Jack Westover","TE","NE","ATL","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Mason Tipton","WR","NO","@LA","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Gunner Olszewski","WR","NYG","SF","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Main"
"Ke'Shawn Williams","WR","PIT","IND","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Isaac Guerendo","RB","SF","@NYG","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.4","Main"
"George Holani","RB","SEA","@WAS","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Sunday"
"Robbie Ouzts","RB","SEA","@WAS","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.4","Sunday"
"Nick Kallerup","TE","SEA","@WAS","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Sunday"
"Julius Chestnut","RB","TEN","LAC","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Main"
"James Proche","WR","TEN","LAC","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"David Martin-Robinson","TE","TEN","LAC","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Feleipe Franks","TE","ATL","@NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Main"
